"Frequency Hz","Response db"
4415.59,-8.316527
4425.58,-8.339204
4435.57,-8.365327
4445.56,-8.391479
4455.55,-8.415658
4465.54,-8.438869
4475.53,-8.462216
4485.52,-8.487962
4495.51,-8.511533
4505.5,-8.531863
4515.49,-8.553399
4525.48,-8.578341
4535.47,-8.604561
4545.46,-8.628587
4555.45,-8.650587
4565.44,-8.675796
4575.43,-8.7026
4585.42,-8.725615
4595.41,-8.746376
4605.4,-8.768903
4615.39,-8.794149
4625.38,-8.817712
4635.37,-8.838086
4645.36,-8.861407
4655.35,-8.888022
4665.34,-8.912336
4675.33,-8.934302
4685.32,-8.958295
4695.31,-8.985285
4705.3,-9.008877
4715.29,-9.029873
4725.28,-9.054153
4735.27,-9.080031
4745.26,-9.102037
4755.25,-9.122968
4765.24,-9.14843
4775.23,-9.172185
4785.22,-9.193519
4795.21,-9.215792
4805.2,-9.241778
4815.19,-9.26451
4825.18,-9.285936
4835.17,-9.311094
4845.16,-9.336124
4855.15,-9.357194
4865.14,-9.380743
4875.13,-9.406866
4885.12,-9.429343
4895.11,-9.450969
4905.1,-9.477144
4915.09,-9.500889
4925.08,-9.522111
4935.07,-9.547089
4945.06,-9.572136
4955.05,-9.593133
4965.04,-9.617237
4975.03,-9.642905
4985.02,-9.663948
4995.01,-9.686862
4996.0,-9.681231
5005.0,-9.712732
5014.99,-9.733967
5024.98,-9.756256
5034.97,-9.78258
5044.96,-9.80401
5054.95,-9.826605
5064.94,-9.85209
5074.93,-9.873482
5084.92,-9.895492
5094.91,-9.921677
5104.9,-9.942514
5114.89,-9.964674
5124.88,-9.990134
5134.87,-10.011006
5144.86,-10.03406
5154.85,-10.05901
5164.84,-10.079415
5174.83,-10.103718
5184.82,-10.127922
5194.81,-10.148291
5204.8,-10.173973
5214.79,-10.196785
5224.78,-10.218192
5234.77,-10.244567
5244.76,-10.265532
5254.75,-10.288829
5264.74,-10.315107
5274.73,-10.335264
5284.72,-10.36052
5294.71,-10.383788
5304.7,-10.404441
5314.69,-10.430269
5324.68,-10.450291
5334.67,-10.47334
5344.66,-10.497045
5354.65,-10.516423
5364.64,-10.541852
5374.63,-10.562783
5384.62,-10.585739
5394.61,-10.611011
5404.6,-10.6315
5414.59,-10.658027
5424.58,-10.679341
5434.57,-10.702956
5444.56,-10.726837
5454.55,-10.746666
5464.54,-10.771332
5474.53,-10.790292
5484.52,-10.814264
5494.51,-10.836746
5504.5,-10.858739
5514.49,-10.884042
5524.48,-10.904863
5534.47,-10.931044
5544.46,-10.95146
5554.45,-10.974416
5564.44,-10.995975
5574.43,-11.016897
5584.42,-11.040621
5594.41,-11.061664
5604.4,-11.088002
5614.39,-11.10845
5624.38,-11.133051
5634.37,-11.153892
5644.36,-11.175908
5654.35,-11.197407
5664.34,-11.218468
5674.33,-11.24314
5684.32,-11.2638
5694.31,-11.289167
5704.3,-11.309227
5714.29,-11.333524
5724.28,-11.351806
5734.27,-11.376075
5744.26,-11.396074
5754.25,-11.421815
5764.24,-11.443443
5774.23,-11.466956
5784.22,-11.486507
5794.21,-11.508046
5804.2,-11.529478
5814.19,-11.55273
5824.18,-11.57675
5834.17,-11.59843
5844.16,-11.620261
5854.15,-11.639987
5864.14,-11.662731
5874.13,-11.684293
5884.12,-11.708273
5894.11,-11.729849
5904.1,-11.751562
5914.09,-11.770924
5924.08,-11.793982
5934.07,-11.816158
5944.06,-11.839773
5954.05,-11.86017
5964.04,-11.88088
5974.03,-11.901967
5984.02,-11.924903
5994.01,-11.949002
5995.0,-11.939051
6004.0,-11.968946
6013.99,-11.990617
6023.98,-12.00984
6033.97,-12.034872
6043.96,-12.055554
6053.95,-12.079343
6063.94,-12.096589
6073.93,-12.120314
6083.92,-12.140594
6093.91,-12.165781
6103.9,-12.184413
6113.89,-12.205677
6123.88,-12.227531
6133.87,-12.249911
6143.86,-12.272611
6153.85,-12.290767
6163.84,-12.31406
6173.83,-12.334503
6183.82,-12.359337
6193.81,-12.377238
6203.8,-12.399452
6213.79,-12.421342
6223.78,-12.443365
6233.77,-12.464946
6243.76,-12.482545
6253.75,-12.507978
6263.74,-12.527742
6273.73,-12.549001
6283.72,-12.568583
6293.71,-12.590879
6303.7,-12.61494
6313.69,-12.632316
6323.68,-12.654528
6333.67,-12.676762
6343.66,-12.698268
6353.65,-12.718705
6363.64,-12.737832
6373.63,-12.762603
6383.62,-12.781856
6393.61,-12.801532
6403.6,-12.82424
6413.59,-12.844812
6423.58,-12.866929
6433.57,-12.884984
6443.56,-12.908348
6453.55,-12.930028
6463.54,-12.947182
6473.53,-12.971235
6483.52,-12.993217
6493.51,-13.011522
6503.5,-13.034286
6513.49,-13.054751
6523.48,-13.075718
6533.47,-13.096252
6543.46,-13.116341
6553.45,-13.139915
6563.44,-13.158038
6573.43,-13.178184
6583.42,-13.202136
6593.41,-13.219368
6603.4,-13.240682
6613.39,-13.264673
6623.38,-13.281532
6633.37,-13.302426
6643.36,-13.326627
6653.35,-13.342637
6663.34,-13.364911
6673.33,-13.388755
6683.32,-13.405122
6693.31,-13.426625
6703.3,-13.450096
6713.29,-13.466869
6723.28,-13.488883
6733.27,-13.512359
6743.26,-13.528483
6753.25,-13.551015
6763.24,-13.572822
6773.23,-13.58904
6783.22,-13.611935
6793.21,-13.63422
6803.2,-13.65055
6813.19,-13.673124
6823.18,-13.695038
6833.17,-13.712067
6843.16,-13.734798
6853.15,-13.755025
6863.14,-13.774538
6873.13,-13.795282
6883.12,-13.815323
6893.11,-13.837022
6903.1,-13.855678
6913.09,-13.875506
6923.08,-13.898972
6933.07,-13.916137
6943.06,-13.936465
6953.05,-13.95944
6963.04,-13.977169
6973.03,-13.997518
6983.02,-14.017257
6993.01,-14.038366
6994.0,-14.033401
7003.0,-14.058315
7012.99,-14.07529
7022.98,-14.099492
7032.97,-14.118248
7042.96,-14.135982
7052.95,-14.158495
7062.94,-14.177805
7072.93,-14.199233
7082.92,-14.216185
7092.91,-14.238091
7102.9,-14.259316
7112.89,-14.27736
7122.88,-14.298333
7132.87,-14.317149
7142.86,-14.339561
7152.85,-14.357506
7162.84,-14.376264
7172.83,-14.397885
7182.82,-14.417493
7192.81,-14.438519
7202.8,-14.454703
7212.79,-14.476815
7222.78,-14.496175
7232.77,-14.516985
7242.76,-14.534375
7252.75,-14.554012
7262.74,-14.576295
7272.73,-14.594291
7282.72,-14.614797
7292.71,-14.631421
7302.7,-14.654226
7312.69,-14.672681
7322.68,-14.693424
7332.67,-14.710586
7342.66,-14.731087
7352.65,-14.751259
7362.64,-14.772219
7372.63,-14.791201
7382.62,-14.808864
7392.61,-14.82928
7402.6,-14.848257
7412.59,-14.869737
7422.58,-14.887284
7432.57,-14.906576
7442.56,-14.924402
7452.55,-14.946863
7462.54,-14.964612
7472.53,-14.985974
7482.52,-15.001984
7492.51,-15.022405
7502.5,-15.040711
7512.49,-15.063022
7522.48,-15.080739
7532.47,-15.101325
7542.46,-15.11805
7552.45,-15.138363
7562.44,-15.156311
7572.43,-15.178487
7582.42,-15.19678
7592.41,-15.217099
7602.4,-15.233544
7612.39,-15.254014
7622.38,-15.272453
7632.37,-15.293246
